"positionId","amount","eventTime"
"1","79.63","1608081738627"
"1","862.89","1608044361253"
"1","527.62","1608069806133"
"2","119.59","1608195100924"
"2","775.56","1608169316857"
"3","735.11","1608144699835"
"3","169.08","1608161039497"
"3","916.69","1608059022756"
"4","287.84","1608160504188"
"4","287.07","1608186054512"
"5","733.03","1608089869807"
"6","257.97","1608103141962"
"7","179.38","1608046120546"
"7","591.43","1608152137833"
"8","453.00","1608064187430"
"9","877.18","1608089707371"
"9","57.28","1608048231388"
"9","758.23","1608148848918"
"10","226.09","1608028064333"
"11","560.66","1608115127503"
"11","738.92","1608177269499"
"11","974.07","1608180884199"
"12","789.06","1608111195024"
"12","461.11","1608045916014"
"13","634.53","1608190521002"
"14","154.52","1608054474126"
"14","510.73","1608027467308"
"14","616.18","1608117733439"
"15","761.07","1608114426813"
"15","433.70","1608077878134"
"15","209.42","1608061071653"
"16","117.73","1608167835896"
"16","297.50","1608068599705"
"17","236.89","1608119511979"
"17","397.06","1608089712277"
"18","151.20","1608153020258"
"18","945.07","1608177811285"
"19","576.50","1608172988813"
"19","702.75","1608097405046"
"19","804.49","1608117633769"
"20","161.87","1608156806022"
"20","576.26","1608093642310"
"21","68.21","1608153202640"
"21","644.84","1608074268864"
"22","41.79","1608177162402"
"23","40.83","1608198694943"
"24","667.22","1608126031698"
"24","952.30","1608165152123"
"25","684.14","1608097510692"
"25","474.98","1608176061045"
"25","255.83","1608187933578"
"26","554.93","1608051092489"
"27","321.52","1608060796588"
"27","576.10","1608103502331"
"27","328.96","1608192256790"
"28","235.43","1608165321696"
"28","65.63","1608137200923"
"28","303.71","1608185962164"
"29","352.74","1608027871709"
"30","725.07","1608057865563"
"31","50.94","1608197496616"
"32","340.77","1608153101001"
"32","5.76","1608127527489"
"32","427.30","1608100745225"
"33","84.96","1608170318696"
"34","241.50","1608063938299"
"34","961.33","1608177148540"
"34","887.83","1608060836850"
"35","446.58","1608093958706"
"35","762.51","1608186027612"
"35","550.77","1608061313615"
"36","510.29","1608055967320"
"36","282.05","1608056171407"
"36","94.88","1608133537827"
"37","288.13","1608164530040"
"37","363.85","1608147640298"
"38","632.32","1608156881441"
"38","550.71","1608135398461"
"38","293.74","1608159886586"
"39","282.19","1608092580071"
"39","878.64","1608165255635"
"40","498.70","1608080421043"
"40","420.59","1608178762113"
"40","656.34","1608191282120"
"41","680.07","1608085953283"
"41","976.16","1608154056399"
"42","558.68","1608031798817"
"43","253.23","1608077937400"
"44","769.28","1608090223077"
"45","606.89","1608148725570"
"45","90.13","1608088385190"
"46","499.81","1608049921111"
"46","504.20","1608052789451"
"46","193.86","1608126816498"
"47","900.43","1608146656130"
"47","487.74","1608195265515"
"47","855.82","1608072745311"
"48","49.01","1608176762537"
"48","256.76","1608069853569"
"49","998.32","1608069570246"
"49","30.39","1608114268362"
"49","233.48","1608073624232"
"50","955.33","1608130748232"
"50","304.69","1608071066069"
"50","774.94","1608138271047"
"51","574.26","1608116773829"
"52","156.35","1608101628469"
"52","744.46","1608129987783"
"52","949.64","1608135784489"
"53","849.43","1608166098919"
"54","811.14","1608082950778"
"54","882.85","1608096989543"
"55","161.45","1608105367499"
"56","475.75","1608047569807"
"57","355.74","1608130972664"
"57","753.54","1608054754792"
"58","528.12","1608147468276"
"58","460.18","1608093758844"
"59","751.06","1608045389825"
"59","773.08","1608192359439"
"60","617.38","1608153413823"
"61","342.60","1608087845932"
"61","648.04","1608114839836"
"61","318.81","1608062655659"
"62","756.17","1608068309090"
"62","287.38","1608100187997"
"63","514.60","1608075013101"
"63","619.67","1608136315459"
"63","106.51","1608090711516"
"64","735.70","1608131799189"
"65","954.94","1608084497363"
"66","607.01","1608029556065"
"66","250.89","1608066760408"
"66","337.70","1608190838894"
"67","934.44","1608123600717"
"67","475.62","1608030684158"
"67","36.86","1608104552439"
"68","243.26","1608130593215"
"69","487.65","1608118291376"
"70","938.79","1608084766378"
"70","96.57","1608160781616"
"70","759.13","1608143856219"
"71","182.85","1608188258723"
"72","342.90","1608199040576"
"73","55.82","1608107176183"
"73","673.27","1608164559615"
"73","583.81","1608077875324"
"74","696.97","1608189170010"
"74","271.70","1608098536698"
"74","922.79","1608154329179"
"75","831.05","1608190757603"
"75","804.67","1608180821575"
"75","35.87","1608168065299"
"76","442.31","1608152527114"
"76","515.86","1608180755850"
"76","193.81","1608048539673"
"77","739.11","1608078816380"
"77","740.72","1608162918780"
"78","337.53","1608148978633"
"78","482.27","1608028834162"
"78","71.25","1608122240360"
"79","890.07","1608125118940"
"80","879.57","1608054349678"
"81","932.74","1608169747468"
"81","438.10","1608076624822"
"82","650.95","1608183597361"
"82","948.77","1608056375669"
"82","398.35","1608058037337"
"83","880.65","1608146191921"
"83","796.09","1608054995996"
"83","237.41","1608185903966"
"84","317.28","1608076720768"
"84","362.75","1608069002558"
"85","838.09","1608075600604"
"86","173.42","1608086658348"
"86","750.55","1608138898747"
"86","847.96","1608178355423"
"87","802.39","1608193994044"
"88","266.84","1608139837292"
"88","296.49","1608048156874"
"88","50.83","1608115662229"
"89","96.21","1608167724257"
"89","14.78","1608083162514"
"89","686.68","1608063020174"
"90","466.44","1608086094851"
"90","262.56","1608192076917"
"91","602.82","1608092589948"
"91","339.46","1608133399169"
"91","411.17","1608071971211"
"92","949.50","1608060648427"
"92","680.96","1608187852500"
"93","231.83","1608096308773"
"94","251.15","1608059946764"
"95","8.91","1608081542245"
"95","981.00","1608119915174"
"95","746.59","1608199200643"
"96","821.77","1608135525177"
"96","240.37","1608183247558"
"97","735.68","1608063671024"
"97","135.49","1608162412725"
"97","693.79","1608180916705"
"98","774.30","1608050613147"
"98","730.23","1608060214127"
"98","49.28","1608029363762"
"99","488.82","1608104161128"
"99","196.91","1608085029489"
"100","119.49","1608166646706"
"100","449.95","1608112584101"
"100","823.32","1608133434395"
"101","313.56","1608117055844"
"102","375.45","1608135160525"
"102","373.13","1608066936619"
"102","514.17","1608105309095"
"103","535.71","1608170518473"
"104","263.56","1608178958067"
"105","557.03","1608176537186"
"105","141.41","1608031416962"
"105","647.79","1608068990699"
"106","354.61","1608095697919"
"106","562.82","1608140066421"
"107","989.02","1608030023463"
"107","534.03","1608082256720"
"108","925.87","1608086295977"
"108","823.62","1608198713659"
"109","524.26","1608158109645"
"109","533.19","1608105084353"
"109","947.07","1608145018229"
"110","104.54","1608165962302"
"110","941.27","1608097517238"
"111","208.86","1608087652988"
"111","800.89","1608123767080"
"112","383.16","1608092296741"
"112","166.30","1608152564144"
"113","886.25","1608160822612"
"114","592.04","1608116688880"
"114","9.71","1608072821899"
"115","332.30","1608173512995"
"115","585.00","1608106428379"
"116","1.44","1608070704038"
"116","937.42","1608191182104"
"116","214.19","1608065497429"
"117","495.03","1608133090081"
"117","568.07","1608154381351"
"117","226.22","1608039485389"
"118","741.45","1608084011965"
"118","748.22","1608089257183"
"119","591.99","1608136408977"
"120","555.23","1608111541789"
"120","131.43","1608188215007"
"120","886.56","1608032658058"
"121","753.51","1608140315606"
"121","834.52","1608129140601"
"122","770.19","1608147079333"
"122","426.93","1608048090952"
"122","60.16","1608100795669"
"123","81.26","1608060598198"
"123","142.06","1608058737390"
"124","663.05","1608045861466"
"125","323.81","1608174330739"
"126","369.04","1608100716982"
"127","863.94","1608191385216"
"127","302.47","1608039759895"
"127","353.74","1608078767373"
"128","470.63","1608060373563"
"129","964.88","1608194048582"
"129","508.94","1608123144252"
"130","166.43","1608108990366"
"130","751.26","1608193849971"
"130","862.92","1608199308998"
"131","104.99","1608073124280"
"131","329.84","1608172665925"
"132","414.88","1608073426478"
"132","755.66","1608105438127"
"133","919.35","1608155698720"
"134","342.74","1608081852398"
"135","756.33","1608133877644"
"135","750.00","1608192385277"
"136","469.95","1608139770774"
"137","749.85","1608183189111"
"138","716.20","1608033338909"
"138","65.09","1608108918342"
"139","268.32","1608064771564"
"139","48.55","1608117722683"
"140","427.94","1608126400713"
"140","471.90","1608187869316"
"141","58.04","1608112431424"
"142","536.29","1608162430021"
"142","264.31","1608048704923"
"143","986.82","1608145157232"
"143","855.84","1608171114184"
"144","893.01","1608151105184"
"144","948.03","1608134678847"
"144","260.35","1608092067588"
"145","584.93","1608174628393"
"145","168.55","1608050577966"
"146","912.86","1608092152415"
"146","171.89","1608133842069"
"146","733.29","1608087329420"
"147","117.86","1608036360477"
"148","457.59","1608156840245"
"148","212.75","1608080784806"
"149","452.69","1608031561163"
"149","150.21","1608034359334"
"150","846.56","1608099345153"
"150","297.48","1608065729221"
"150","505.39","1608088718367"
"151","305.47","1608141579273"
"152","342.66","1608107521791"
"153","932.36","1608038061839"
"153","572.59","1608183234390"
"154","207.81","1608102012300"
"154","112.74","1608126444296"
"154","81.62","1608111051288"
"155","711.64","1608186510181"
"156","281.44","1608087673531"
"157","793.73","1608155093147"
"157","521.02","1608071289570"
"157","222.28","1608083314263"
"158","504.69","1608180042232"
"159","516.26","1608149685616"
"159","40.17","1608152062400"
"160","307.85","1608101462961"
"160","401.18","1608186698635"
"161","27.44","1608130493454"
"161","720.78","1608198825897"
"162","223.09","1608061431409"
"162","789.08","1608080272189"
"162","458.15","1608126341678"
"163","842.50","1608120742769"
"163","118.02","1608037032051"
"164","180.38","1608176786684"
"164","913.67","1608094951481"
"164","62.37","1608047040289"
"165","508.70","1608164458853"
"165","844.99","1608064127227"
"165","186.31","1608183071073"
"166","178.62","1608064709593"
"166","211.54","1608107486234"
"166","910.41","1608074983621"
"167","719.27","1608141800508"
"168","778.78","1608130784735"
"168","868.01","1608033418890"
"169","845.69","1608131394531"
"169","452.71","1608100909976"
