"positionId","warehouse","product","eventTime"
"1","W-1","P-118","1608063640241"
"2","W-2","P-3","1608182957020"
"3","W-3","P-197","1608100274397"
"4","W-4","P-43","1608078196317"
"5","W-5","P-24","1608080184459"
"6","W-6","P-53","1608107383455"
"7","W-7","P-153","1608051815602"
"8","W-8","P-134","1608139881623"
"9","W-9","P-105","1608071449552"
"10","W-10","P-10","1608146043581"
"11","W-11","P-194","1608039313763"
"12","W-12","P-89","1608067137370"
"13","W-13","P-109","1608056167154"
"14","W-14","P-46","1608086178356"
"15","W-15","P-110","1608133103200"
"16","W-16","P-132","1608081335008"
"17","W-17","P-21","1608050830477"
"18","W-18","P-44","1608121146744"
"19","W-19","P-4","1608049242525"
"20","W-20","P-76","1608164856727"
"21","W-21","P-160","1608081381326"
"22","W-22","P-15","1608174254347"
"23","W-23","P-175","1608054279098"
"24","W-24","P-131","1608031101562"
"25","W-25","P-59","1608038726282"
"26","W-26","P-138","1608055977638"
"27","W-27","P-177","1608120406373"
"28","W-28","P-5","1608081801624"
"29","W-29","P-84","1608179871132"
"30","W-30","P-22","1608082929800"
"31","W-31","P-15","1608182087386"
"32","W-32","P-119","1608163232545"
"33","W-33","P-112","1608199673656"
"34","W-34","P-87","1608122885088"
"35","W-35","P-1","1608189105373"
"36","W-36","P-150","1608156004542"
"37","W-37","P-141","1608103494406"
"38","W-38","P-19","1608034507814"
"39","W-39","P-150","1608131496904"
"40","W-40","P-122","1608167233217"
"41","W-41","P-81","1608159773355"
"42","W-42","P-20","1608081568399"
"43","W-43","P-171","1608137670375"
"44","W-44","P-100","1608045813045"
"45","W-45","P-187","1608088677051"
"46","W-46","P-50","1608133756072"
"47","W-47","P-155","1608117099335"
"48","W-48","P-126","1608191181705"
"49","W-49","P-30","1608051736058"
"50","W-50","P-53","1608132540062"
"51","W-51","P-101","1608091229680"
"52","W-52","P-186","1608161907400"
"53","W-53","P-168","1608178942955"
"54","W-54","P-47","1608136368637"
"55","W-55","P-111","1608042571220"
"56","W-56","P-69","1608170525065"
"57","W-57","P-56","1608064824848"
"58","W-58","P-173","1608162639024"
"59","W-59","P-75","1608103840937"
"60","W-60","P-35","1608116933988"
"61","W-61","P-17","1608075887828"
"62","W-62","P-100","1608083190637"
"63","W-63","P-155","1608053101149"
"64","W-64","P-52","1608047277576"
"65","W-65","P-194","1608184840546"
"66","W-66","P-76","1608133664676"
"67","W-67","P-2","1608107116780"
"68","W-68","P-157","1608157956758"
"69","W-69","P-4","1608048776640"
"70","W-70","P-171","1608072215784"
"71","W-71","P-7","1608121099089"
"72","W-72","P-147","1608035015519"
"73","W-73","P-54","1608087609475"
"74","W-74","P-53","1608161115704"
"75","W-75","P-88","1608180014293"
"76","W-76","P-179","1608162738850"
"77","W-77","P-87","1608035721264"
"78","W-78","P-135","1608114143792"
"79","W-79","P-198","1608105157215"
"80","W-80","P-69","1608197381454"
"81","W-81","P-162","1608177998350"
"82","W-82","P-40","1608079849982"
"83","W-83","P-60","1608119932257"
"84","W-84","P-113","1608118128365"
"85","W-85","P-26","1608184421537"
"86","W-86","P-192","1608161440561"
"87","W-87","P-149","1608082243639"
"88","W-88","P-141","1608121255464"
"89","W-89","P-134","1608182236910"
"90","W-90","P-7","1608134430729"
"91","W-91","P-137","1608142955290"
"92","W-92","P-156","1608140275562"
"93","W-93","P-56","1608147161891"
"94","W-94","P-97","1608093496292"
"95","W-95","P-163","1608133566490"
"96","W-96","P-153","1608176036815"
"97","W-97","P-130","1608133594350"
"98","W-98","P-125","1608081500377"
"99","W-99","P-44","1608174414063"
"100","W-100","P-42","1608136848261"
"101","W-101","P-150","1608091987142"
"102","W-102","P-161","1608185031552"
"103","W-103","P-13","1608106989017"
"104","W-104","P-46","1608147354329"
"105","W-105","P-180","1608141762999"
"106","W-106","P-194","1608115277061"
"107","W-107","P-33","1608078143298"
"108","W-108","P-183","1608181885100"
"109","W-109","P-40","1608187739228"
"110","W-110","P-16","1608119945911"
"111","W-111","P-56","1608148984593"
"112","W-112","P-9","1608155319364"
"113","W-113","P-7","1608062409697"
"114","W-114","P-148","1608126662923"
"115","W-115","P-89","1608088068100"
"116","W-116","P-45","1608182530319"
"117","W-117","P-11","1608042236352"
"118","W-118","P-102","1608115901511"
"119","W-119","P-86","1608150552841"
"120","W-120","P-159","1608156243468"
"121","W-121","P-25","1608194897892"
"122","W-122","P-36","1608120316233"
"123","W-123","P-186","1608127698767"
"124","W-124","P-193","1608099620384"
"125","W-125","P-126","1608095758518"
"126","W-126","P-4","1608162058777"
"127","W-127","P-199","1608182761041"
"128","W-128","P-52","1608120656080"
"129","W-129","P-94","1608040246744"
"130","W-130","P-87","1608110935219"
"131","W-131","P-137","1608179321098"
"132","W-132","P-153","1608060294446"
"133","W-133","P-124","1608051439135"
"134","W-134","P-41","1608125633421"
"135","W-135","P-130","1608128928325"
"136","W-136","P-86","1608102011549"
"137","W-137","P-45","1608145018929"
"138","W-138","P-191","1608145593784"
"139","W-139","P-9","1608139654296"
"140","W-140","P-81","1608032931275"
"141","W-141","P-47","1608084922402"
"142","W-142","P-113","1608068281682"
"143","W-143","P-189","1608093023096"
"144","W-144","P-187","1608099303122"
"145","W-145","P-180","1608169437617"
"146","W-146","P-137","1608065473844"
"147","W-147","P-124","1608036914693"
"148","W-148","P-136","1608158581575"
"149","W-149","P-77","1608160080944"
"150","W-150","P-89","1608097611700"
"151","W-151","P-4","1608173491992"
"152","W-152","P-11","1608126749797"
"153","W-153","P-147","1608071420362"
"154","W-154","P-28","1608150638832"
"155","W-155","P-197","1608192782770"
"156","W-156","P-196","1608139791965"
"157","W-157","P-176","1608141816319"
"158","W-158","P-182","1608095339432"
"159","W-159","P-44","1608048297972"
"160","W-160","P-18","1608179057939"
"161","W-161","P-12","1608040266119"
